TradingName,Address1,Address2,Address3,Address4,Address5,Postcode,HasCows,HasSheep,HasGoats,HasBuffalo,HasHorses,DateOfVisit,ComplianceRating
T/A: Edgar and Son,PARK FARM,BRASTED,,SEVENOAKS,KENT,TN16 1LL,YES,,,,,2026-03-11,Broadly Compliant
Emma's Dairy,Lower Gazegill Farm,Dancer Lane,Rimington,Clitheroe,,BB7 4EE,YES,,,,,2025-12-03,Broadly Compliant
F S STURROCK & SONS,HOME FARM,ELWICK,,WEST HARTLEPOOL,CLEVELAND,TS27 3EF,YES,,,,,2026-04-15,Broadly Compliant
T/A: N & J MCLINTOCK,RALPHS FARM,DENSHAW,,OLDHAM,LANCASHIRE,OL3 5SB,YES,,,,,2026-04-16,Broadly Compliant
T/A: P L & K J Boam,TAGG LANE GRANGE,TAGG LANE,MONYASH,BAKEWELL,DERBYSHIRE,DE45 1JP,YES,,,,,2026-01-05,Broadly Compliant
T/A: B & H GRIFFIN,TOLLGATE FARM,COTES-DE-VAL,,LUTTERWORTH,LEICESTERSHIRE,LE17 4LY,YES,,,,,2026-04-15,Broadly Compliant
T E RITCHIE & SONS,OWSTON GRANGE,BENTLEY,,DONCASTER,SOUTH YORKSHIRE,DN5 0LS,YES,,,,,2025-11-11,Broadly Compliant
F W READ & SONS LTD,ULCEBY GRANGE,,,ALFORD,LINCOLNSHIRE,LN13 0HE,YES,,,,,2025-11-11,Broadly Compliant
P & R E Kimber,HIGHER STAVORDALE FARM,CHARLTON MUSGROVE,,WINCANTON,SOMERSET,BA9 8HJ,YES,,,,,2025-11-25,Broadly Compliant
Waltham Place Farm,Waltham Place Farm,Waltham Place,Church Hill,,,SL6 3JH,YES,,,,,2025-11-19,Broadly Compliant
Hall Farm,The Old Shepards Cottage,Hall Farm,Harford,Ivybridge,Devon,PL21 0JH,YES,,,,,2026-04-13,Broadly Compliant
Stowford Manor Farm,STOWFORD,WINGFIELD,,TROWBRIDGE,WILTSHIRE,BA14 9LH,YES,,,,,2025-11-20,Broadly Compliant
Proper Cornish Milk,Week Orchard,Week Cottage,,Marhamchurch,Cornwall,EX23 0HT,YES,,,,,2025-11-19,Broadly Compliant
RW Frankland and Sons,HILL TOP FARM,GREWELTHORPE,,RIPON,NORTH YORKSHIRE,HG4 3BY,YES,,,,,2026-04-29,Broadly Compliant
J & J SALTER,HALL FARM,31 Norwich Road,,ATTLEBOROUGH,NORFOLK,NR17 2AJ,YES,,,,,2026-04-22,Broadly Compliant
E H ARDEN & SON,GREEN LANE FARM,BROUGHTON,,CHESTER,CHESHIRE,CH4 0NS,YES,,,,,2026-04-30,Broadly Compliant
A J HUNT & SONS,BUCKWELL LODGE,LUTTERWORTH ROAD,NORTH KILWORTH,LUTTERWORTH,LEICESTERSHIRE,LE17 6JF,YES,,,,,2026-04-21,Broadly Compliant
T/A: D A Howie & Sons,MORWICK HOUSE,ACKLINGTON,,MORPETH,NORTHUMBERLAND,NE65 9DG,YES,,,,,2025-12-01,Broadly Compliant
E & D E HORN,SLACK HOUSE FARM,GILSLAND,,BRAMPTON,CUMBRIA,CA8 7DB,YES,,,,,2026-02-17,Broadly Compliant
Kingcott Dairy,IDEN MANOR FARM,CRANBROOK ROAD,STAPLEHURST,TONBRIDGE,KENT,TN12 0ES,YES,,,,,2025-10-29,Broadly Compliant
Mel's Dairy,Spring Bank Farm,Barrage Road,Biddulph Moor,Staffordshire Moorlands,,ST8 7NU,,,YES,,,2025-11-17,Broadly Compliant
Cools Farm Organics,Cools Farm,East Knoyle,Salisbury,Wiltshire,,SP3 6DB,YES,,,,,2025-06-11,Broadly Compliant
Halton Farms Ltd,CHANCE HALL FARM,CHANCE HALL LANE,MORETON-CUM-ALCUMLOW,NR CONGLETON,CHESHIRE,CW12 4TL,YES,,,,,2025-11-17,Broadly Compliant
M P MASON,BEECHES FARM,BUSHBURY LANE,BUSHBURY,WOLVERHAMPTON,WEST MIDLANDS,WV10 8JT,YES,,,,,2026-03-31,Broadly Compliant
BAYS LEAP DAIRY FARM Limited,BAYS LEAP FARM,HEDDON ON THE WALL,,NEWCASTLE UPON TYNE,,NE15 0JW,YES,,,,,2025-12-01,Broadly Compliant
T/A: Olive Farm (Babcary) Limited,OVERTON FARM,BABCARY,,SOMERTON,SOMERSET,TA11 7EJ,YES,,,,,2025-11-11,Broadly Compliant
C L G Wadman & J Wadman & Sons,ELLISCOMBE FARM,HOLTON,,WINCANTON,SOMERSET,BA9 8EA,YES,,,,,2025-11-11,Broadly Compliant
MESSRS M L & J M RICHARDSON & SONS,WHEELBIRKS JERSEY FARM,,,STOCKSFIELD,NORTHUMBERLAND,NE43 7HY,YES,,,,,2025-11-05,Broadly Compliant
Manor House Farm,Manor House Farm,Helwith,Marske,Richmond,,DL11 7EG,,,YES,,,2026-03-18,Broadly Compliant
P J IKIN,WALTON LODGE FARM,SUTTON IN THE ELMS,BROUGHTON ASTLEY,LEICESTER,LEICESTERSHIRE,LE9 6QF,YES,,,,,2025-11-11,Broadly Compliant
BRIAN HAIGH,HIGHER NAYLOR HILL FARM,OXENHOPE,,KEIGHLEY,WEST YORKSHIRE,BD22 9SU,YES,,,,,2025-11-12,Broadly Compliant
