trading_name,street,city,state,zip,animals,herd_share,source_url
Organic Pastures Dairy Company,7221 S Jameson Ave,Fresno,CA,93706,cows,no,https://www.organicpastures.com
Claravale Farm,Panoche,Panoche,CA,95043,cows,no,https://www.claravalefarm.com
Mill-King Market & Creamery,23625 N State Hwy 6,McGregor,TX,76657,cows,no,https://www.mill-king.com
The Family Cow,3854 Olde Scotland Rd,Chambersburg,PA,17202,cows,no,https://www.yourfamilycow.com
Dungeness Valley Creamery,1915 Towne Rd,Sequim,WA,98382,cows,no,https://www.dungenessvalleycreamery.com
Pride and Joy Dairy,7600 W Mead Ave,Granger,WA,98932,cows,no,https://prideandjoydairy.com
Apple Valley Creamery,60 Apple Valley Ln,East Berlin,PA,17316,cows,no,https://www.applevalleycreamery.com
Cloverleaf Creamery,205 Center Ave,Buhl,ID,83316,cows,no,https://www.cloverleafcreamery.com
Hawthorne Valley Farm,327 Route 21C,Ghent,NY,12075,cows,yes,https://farm.hawthornevalley.org
Stryk Jersey Farm,Stryk Rd,Schulenburg,TX,78956,cows,no,https://www.strykjerseyfarm.com
